Symbol,名称,持仓量,现价(USD),市值(USD),摊薄成本(USD),总成本(USD),未实现盈亏(USD),盈亏比例
XPEV,XPENG INC - ADR,59380.0,17.22,1022523.6,24.5813,1459635.43,-437111.83,-29.95%
QQQ,INVESCO QQQ TRUST SERIES 1,753.1989,588.59,443325.34,540.3847,407017.14,36308.2,8.92%
XIACY,XIAOMI CORP - UNSP ADR,12834.0,19.99,256551.66,27.9497,358707.05,-102155.39,-28.48%
SGOV,ISHARES 0-3 MONTH TREASURY B,2121.0545,100.45,213059.92,100.4398,213038.33,21.59,0.01%
COIN,COINBASE GLOBAL INC -CLASS A,800.0,175.18,140144.0,276.2209,220976.68,-80832.68,-36.58%
MU,MICRON TECHNOLOGY INC,300.0,377.58,113274.0,410.6122,123183.65,-9909.65,-8.04%
LI,LI AUTO INC - ADR,5900.0,18.42,108678.0,30.0,177000.0,-68322.0,-38.60%
HY9H,SK HYNIX INC-GDS,200.0,528.0,105600.0,492.246,98449.2,7150.8,7.26%
QQQI,NEOS NASDAQ-100 HIGH INC ETF,1804.6097,50.51,91150.84,54.5116,98372.2,-7221.36,-7.34%
QQQM,INVESCO NASDAQ 100 ETF,300.7203,242.38,72888.59,247.1893,74334.84,-1446.26,-1.95%
BABA,ALIBABA GROUP HOLDING-SP ADR,500.0,119.72,59860.0,165.3189,82659.45,-22799.45,-27.58%
SOXX,ISHARES SEMICONDUCTOR ETF,100.0551,347.76,34795.16,343.3303,34351.95,443.21,1.29%
MPNGY,MEITUAN - UNSP ADR,1500.0,20.6,30900.0,30.7032,46054.8,-15154.8,-32.91%
SPY,SS SPDR S&P 500 ETF TRUST-US,40.2004,659.22,26500.91,635.2727,25538.22,962.69,3.77%
EWY,ISHARES MSCI SOUTH KOREA ETF,200.0,127.19,25438.0,138.5022,27700.45,-2262.45,-8.17%
SPYM,STE STR SPDR PT S&P 500 ETF,1.4736,77.59,114.34,79.8159,117.62,-3.28,-2.79%
MSFT,MICROSOFT CORP,50.1021,372.29,18652.51,394.2047,19750.48,-1097.97,-5.56%
VOO,VANGUARD S&P 500 ETF,30.2912,606.04,18357.68,525.8845,15929.67,2428.01,15.24%
NVO,NOVO-NORDISK A/S-SPONS ADR,439.4908,36.91,16221.61,66.4058,29184.72,-12963.12,-44.42%
JEPI,JPMORGAN EQUITY PREMIUM INCO,212.1165,56.52,11988.82,56.1168,11903.31,85.52,0.72%
TCOM,TRIP.COM GROUP LTD-ADR,100.0,50.22,5022.0,64.0037,6400.37,-1378.37,-21.54%
SCHW,SCHWAB (CHARLES) CORP,0.3059,93.34,28.55,94.4546,28.89,-0.34,-1.18%
