账户,日期,时间,Symbol,操作,数量,成交价,佣金税费,操作前持仓,操作前成本,操作后持仓,操作后成本,备注
U11181997,20230719,20230719;093002,NVDA,买入,30.0,474.73,1.0,0.0,0.0,30.0,474.7633,
U11181997,20230804,20230804,NVDA,转入,30.0,445.15,0.0,30.0,474.7633,60.0,459.9567,Transfer FOP
U11181997,20240410,20240410;140003,NVO,买入,40.0,125.06,1.0,0.0,0.0,40.0,125.085,
U11181997,20240410,20240410;140004,NVO,买入,7.0,125.06,0.0,40.0,125.085,47.0,125.0813,
U11181997,20240410,20240410;140004,NVO,买入,0.3373,125.04,0.0,47.0,125.0813,47.3373,125.081,
U11181997,20240910,20240910;143549,NVO,卖出,47.0,129.812,1.99,47.3373,125.081,0.3373,125.081,
U11181997,20240910,20240910;143549,NVO,卖出,0.3373,129.8,0.0,0.3373,125.081,0.0,0.0,
U11181997,20260129,20260129;095233,MSFT,买入,50.0,430.0,1.0,0.0,0.0,50.0,430.02,
U12672188,20240603,20240603;132452,NIO,买入,700.0,5.245,2.59,0.0,0.0,700.0,5.2487,
U12672188,20240603,20240603;132452,NIO,买入,500.0,5.245,1.85,700.0,5.2487,1200.0,5.2487,
U12672188,20240603,20240603;132452,NIO,买入,100.0,5.245,0.37,1200.0,5.2487,1300.0,5.2487,
U12672188,20250121,20250121;125756,QQQ,买入,20.0,525.17,0.36,0.0,0.0,20.0,525.1878,
U12672188,20250219,20250219;093000,SGOV,买入,2.0,100.53,0.01,0.0,0.0,2.0,100.5343,
U12672188,20250219,20250219;093000,SGOV,买入,30.0,100.53,0.03,2.0,100.5343,32.0,100.5311,
U12672188,20250219,20250219;093000,SGOV,买入,80.0,100.53,0.11,32.0,100.5311,112.0,100.5313,
U12672188,20250219,20250219;093000,SGOV,买入,97.0,100.53,0.42,112.0,100.5313,209.0,100.5327,
U12672188,20250219,20250219;093000,SGOV,买入,33.0,100.53,0.14,209.0,100.5327,242.0,100.5329,
U12672188,20250219,20250219;093000,SGOV,买入,26.0,100.53,0.11,242.0,100.5329,268.0,100.5331,
U12672188,20250220,20250220;101715,QQQ,买入,20.0,535.0,0.31,20.0,525.1878,40.0,530.1017,
U12672188,20250303,20250303;052019,QQQ,买入,10.0,509.91,0.38,40.0,530.1017,50.0,526.071,
U12672188,20250303,20250303;150010,QQQ,买入,8.0,500.0,0.34,50.0,526.071,58.0,522.4808,
U12672188,20250303,20250303;150010,QQQ,买入,2.0,500.0,0.0,58.0,522.4808,60.0,521.7315,
U12672188,20250304,20250304;094704,QQQ,买入,20.0,494.55,0.36,60.0,521.7315,80.0,514.9406,
U12672188,20250304,20250304;102317,JEPQ,买入,100.0,53.47,0.37,0.0,0.0,100.0,53.4737,
U12672188,20250304,20250304;133552,MSFT,买入,25.0,386.01,0.36,0.0,0.0,25.0,386.0243,
U12672188,20250307,20250307;093001,QQQ,买入,20.0,487.16,0.38,80.0,514.9406,100.0,509.3883,
U12672188,20250307,20250307;104254,QQQ,买入,100.0,484.58,0.16,100.0,509.3883,200.0,496.985,
U12672188,20250310,20250310;102008,SGOV,买入,182.0,100.44,0.39,268.0,100.5331,450.0,100.4963,
U12672188,20250310,20250310;102008,SGOV,买入,465.0,100.44,1.64,450.0,100.4963,915.0,100.4695,
U12672188,20250310,20250310;102008,SGOV,买入,57.0,100.44,0.2,915.0,100.4695,972.0,100.468,
U12672188,20250310,20250310;102008,SGOV,买入,1000.0,100.44,3.54,972.0,100.468,1972.0,100.4556,
U12672188,20250310,20250310;102008,SGOV,买入,1278.0,100.44,4.52,1972.0,100.4556,3250.0,100.4508,
U12672188,20250310,20250310;102008,SGOV,买入,18.0,100.44,0.04,3250.0,100.4508,3268.0,100.4508,
U12672188,20250310,20250310;111229,JEPQ,买入,100.0,52.16,0.16,100.0,53.4737,200.0,52.8177,
U12672188,20250311,20250311;144426,NIO,卖出,2000.0,5.26,5.7,1300.0,5.2487,0.0,0.0,
U12672188,20250312,20250312;122619,JEPQ,买入,187.0,52.48,0.31,200.0,52.8177,387.0,52.6553,
U12672188,20250312,20250312;122619,JEPQ,买入,13.0,52.48,0.02,387.0,52.6553,400.0,52.6497,
U12672188,20250312,20250312;130417,SGOV,买入,950.0,100.455,3.56,3268.0,100.4508,4218.0,100.4526,
U12672188,20250313,20250313;162000,QQQ,买入,100.0,492.0,0.0,200.0,496.985,300.0,491.21,Put行权(QQQ   250314P00492000)
U12672188,20250313,20250313;162000,QQQ,买入,100.0,490.0,0.0,300.0,491.21,400.0,488.3225,Put行权(QQQ   250314P00490000)
U12672188,20250313,20250313;164256,SPLG,买入,100.0,65.0,0.37,0.0,0.0,100.0,65.0037,
U12672188,20250324,20250324;101436,SPLG,买入,100.0,67.5888,0.37,100.0,65.0037,200.0,66.2981,
U12672188,20250326,20250326;102535,JEPQ,买入,100.0,53.509,0.37,400.0,52.6497,500.0,52.8223,
U12672188,20250326,20250326;102648,NVDA,买入,100.0,115.12,0.16,0.0,0.0,100.0,115.1216,
U12672188,20250327,20250327;095124,JEPQ,买入,100.0,53.039,0.37,500.0,52.8223,600.0,52.859,
U12672188,20250328,20250328;112918,NVDA,买入,100.0,109.6393,0.37,100.0,115.1216,200.0,112.3823,
U12672188,20250331,20250331;100503,SGOV,买入,1000.0,100.68,3.54,4218.0,100.4526,5218.0,100.4968,
U12672188,20250401,20250401;111430,SPLG,买入,0.5928,66.0,0.04,200.0,66.2981,200.5928,66.2975,
U12672188,20250404,20250404;093305,JEPQ,买入,1.8216,48.07,0.09,600.0,52.859,601.8216,52.8447,
U12672188,20250404,20250404;093305,JEPQ,买入,4.2522,48.07,0.21,601.8216,52.8447,606.0738,52.8115,
U12672188,20250404,20250404;102815,NVDA,买入,100.0,95.0,0.16,200.0,112.3823,300.0,106.5888,
U12672188,20250407,20250407;093215,SGOV,买入,16.1882,100.42,0.35,5218.0,100.4968,5234.1882,100.4967,
U12672188,20250407,20250407;115745,XPEV,买入,300.0,17.5,0.76,0.0,0.0,300.0,17.5025,
U12672188,20250407,20250407;115745,XPEV,买入,3719.0,17.5,9.44,300.0,17.5025,4019.0,17.5025,
U12672188,20250407,20250407;115745,XPEV,买入,981.0,17.5,2.49,4019.0,17.5025,5000.0,17.5025,
U12672188,20250407,20250407;121808,XPEV,买入,159.0,17.0,0.4,5000.0,17.5025,5159.0,17.4871,
U12672188,20250407,20250407;121808,XPEV,买入,100.0,17.0,0.25,5159.0,17.4871,5259.0,17.4779,
U12672188,20250407,20250407;121808,XPEV,买入,200.0,17.0,0.51,5259.0,17.4779,5459.0,17.4605,
U12672188,20250407,20250407;121808,XPEV,买入,332.0,17.0,0.84,5459.0,17.4605,5791.0,17.4342,
